Episode Number,Episode Title,Air Date,Short Summary,Long Summary,Characters,Fruits
Episode 11,"Revealing the Conspiracy! The Pirate Caretaker, Captain Kuro!",26-Jan-00,"Zoro and Nami rescue Luffy and learn about Kuro's malicious intentions. Meanwhile, Usopp attempts to alert the townspeople about the incoming threat, but the people do not believe him. The crew decide to work with Usopp to battle the Black Cat Pirates themselves.","Nami and Zoro head to the cliff to look for Luffy. They discover Luffy at the base of the cliff, and they head to the bottom of the cliff to wake him up unharmed. Luffy reveals to them Klahadore's malicious intents.
Usopp runs to the village to alert others about the incoming attack, but the townspeople refuse to believe him, contrasting him to Klahadore whom they trust more. The townspeople chase Usopp out of the town. Usopp then goes to Kaya's mansion to warn her about the danger, but she also does not believe him, believing it to be an unusually cruel joke.
Usopp attempts to escort Kaya out of the building, but is faced against the mansion guards. Although Usopp fights the guards, Kaya refuses to leave, hitting Usopp across the face. One of Kaya's butlers, Merry, shoots Usopp in the arm, and the townspeople continue to pursue him.
Meanwhile, Kuro meets with his crew at their ship stationed at the island. He orders them to destroy the entire village the next day.
The crew, Usopp and the children meet at the outskirts of the village. The children express their disappointment in Usopp for lying as they leave. The crew agree to fight alongside Usopp to defend Syrup Village from the Black Cat Pirates.","Jango, Kuro, Usopp, Monkey D. Luffy, Nami, Roronoa Zoro, Kaya, Ninjin, Tamanegi, Piiman, Merry",
Episode 12,Battle! The Blackcat Pirate Crew. Battle on the Slope!,2-Feb-00,"The crew prepare for the incoming attack by defending the southern coast, but the enemy pirates instead enter from the north. They arrive just in time to face the attack, and they fight to prevent the Black Cat Pirates from entering the village.","The crew prepare for the incoming attack. As the only entrance to the village is a single sloped path at the island's south end, they stand guard at the pathway to prevent the Black Cat Pirates from entering. They cover the slope with slippery oil to prevent them from walking up the path.
Kuro, still disguised as Klahadore, returns to Kaya's mansion, where Kaya is already asleep and Merry tending to his duties. Kuro finds a gift Kaya got for him, a pair of glasses custom-made for him so they would not slip off his nose. Kuro destroys the pair of glasses, revealing his true self to Merry. Revealing a set of long blades attached to his fingers like cat claws, he slices Merry down before heading to Kaya's bedroom to watch her sleep.
Morning arrives and as planned, the Black Cat Pirates led by Jango dock at the island. However, Usopp forgets that there is a second entrance to the village at the island's north end, through which the Black Cat Pirates decided to use instead. Nami, Luffy and Usopp rush to the north end, whereas Zoro is trapped by the south entrace's slippery slope. As Zoro continues to struggle to climb the slope, Luffy gets lost while attempting to reach the north coast.
Arriving at the north end and using his slingshot, Usopp strikes down many of the advancing Black Cat Pirates. Usopp attempts to bribe the pirates away using the treasures on the crew's ship, but Nami arrives and stops them. Undeterred, the Black Pirates continue their advances onto the island, and Nami and Usopp are unable to stop them. However, Luffy and Zoro arrive just in time to stop them.
Kuro notices his crew is late entering the village. He decides to personally head down to the north coast, vowing to kill his entire crew if his plan were to go wrong.","Usopp, Kaya, Merry, Nami, Monkey D. Luffy, Roronoa Zoro, Kuro, Jango, Ninjin, Piiman, Tamanegi",
Episode 13,The Terrifying Duo! Nyaban Brothers vs. Zoro,9-Feb-00,"Kaya discovers Klahadore's true nature after finding Merry wounded. Meanwhile, Jango hypnotizes his men to increase their strength, and after this plan fails he summons the Nyaban Brothers to battle Zoro.","The children attempt to enter Kaya's mansion to check on her, but Usopp's secret entrance had been sealed and they cannot climb the gates. Inside the mansion, Kaya exits her bedroom to find a wounded Merry on the floor. Merry reveals that Usopp had been telling the truth and Klahadore was indeed a pirate attempting to assassinate Kaya for her family fortune.
As the invading Black Cat Pirates find themselves unable to fight off Luffy and Zoro, Jango hypnotizes them to increase their strength. The newly hypnotized combatants become far stronger, shattering cliffs with a single punch. However, Jango accidentally hypnotizes Luffy in the process, who, with his strength enhanced, defeats the Black Cat Pirates, then tears off the bow of the Black Cat Pirates ship. Jango hypnotizes Luffy asleep and Luffy collapses, but the bow also falls and crushes the enemy pirates.
As a last-ditch effort to penetrate the crew's defenses, Jango summons the Nyaban Brothers, Sham and Buchi, who had been watching over the ship. Although the Nyaban Brothers initially appear weak and cowardly, they use this as an act to catch Zoro off guard. Sham takes two of Zoro's katanas, leaving him to defend himself with a single sword. Usopp attempts to shoot them with a slingshot but misses, hitting Zoro instead and allowing the Nyaban Brothers to slash his chest. Nami attempts to retrieve Zoro's katanas but is stopped by Jango, who slices her in the shoulder with his chakram.
To the horror of the Black Cat Pirates, Kuro arrives at the coast, frustrated with the setbacks to the operation.","Kuro, Merry, Usopp, Monkey D. Luffy, Nami, Roronoa Zoro, Jango, Tamanegi, Ninjin, Piiman, Kaya, Sham, Buchi",
Episode 14,Luffy's Revival! Miss Kaya's Life and Death Confrontation,16-Feb-00,"Captain Kuro himself arrives at the scene, and with Zoro too injured to fight, Luffy being incapacitated, and the other two, Nami and Usopp, being too weak to handle him, things seem hopeless. However, Kaya herself appears to bargain with Kuro.","This episode starts with a recap of the previous episode and opens with Kuro arriving at the north slope, very angry that his plan did not go as planned. Jango and the rest of the Black Cat Pirates are terrified by him, including Sham and Buchi. He can’t believe that his former crew was held back by a bunch of children. He asks Jango for an explanation. Jango reminds Kuro who said letting Usopp go would not cause any problems. Kuro said that he knew that Usopp would try in vain to stop the Black Cat Pirates from invading Syrup Village since no one would believe him, but the one thing he didn’t count on was the weakness of his crew.
This remark made Sham and Buchi very mad. They remembered Kuro as a strong killer and said they were sinking ships and vanquishing pirate crews while Kuro lived the good life. They accused him of becoming weak. They go straight to him, hoping to kill him. Jango tries to warn them, but it was no use. Before they could deal him a blow, he suddenly disappeared. And reappeared moments later behind them with his Cat Claws gloves on his hands. It surprised even Zoro. They tried to attack him again, but he disappeared one more time. Jango recognized this move as the Nukiashi technique, Kuro’s trademark attack. He reappeared behind Sham and Buchi again, with his claw-like knives pointing at them. Even Nami is impressed by this, as the Nyaban Brothers nearly defeated Zoro. This silent technique is so powerful, not even a group of 50 assassins could stop Kuro. Jango knew he hasn’t lost that attack by the way he always lifted his glasses to avoid being cut by his Cat Claws gloves.
Nami managed to get up despite her wound. Kuro gave his crew 5 minutes to kill Zoro. Otherwise, he will kill them all. Sham and Buchi go straight to Zoro to kill him. Jango encourages them to stop him. Nami kicks the two swords straight to Zoro. The swordsman managed to get them. Although a little upset that Nami kicks his swords without any respect, Zoro thanks her for giving him back his swords and he defeats the Nyaban Brothers by using the Tora Gari technique. Kuro is still counting the minutes. Usopp and the Black Cat Pirates are surprised by the swordsman’s attack. Even Jango is shocked by it.
Zoro said to Kuro that the former captain will be defeated in less than 5 minutes. Kuro is a little impressed. Buchi is still conscious and begs Jango to hypnotize him so he will become strong enough to defeat Zoro. Jango managed to do so and Zoro decided to deal with Buchi before he can fight Kuro. After being hypnotized, Buchi becomes stronger and more savage than before. His muscles even increased in size. That surprised Zoro, but he managed to regain his calm and decided to fight him no matter what happens. Meanwhile, Nami goes to wake up Luffy who is sleeping beneath the figurehead of the Bezan Black. She managed to wake him up by pressing her foot into his head. Luffy woke up just in time to stop Jango’s pendulum from killing Nami with his bare teeth while arguing with Nami for the way she wakes people up. Nami learned that Jango’s pendulum is also used as a weapon. Luffy broke the pendulum with his bare teeth, although it hurts him a little bit.
The Black Cat Pirates begin to think it will be impossible to defeat Luffy and Zoro since they appeared to be very strong. After waking up Luffy, Nami passes out for a bit. The pirates run from Luffy, scared for their life. While Buchi fights Zoro, Jango will deal with Luffy. Kuro said that time is up and he will kill everyone on the north slope. He is also surprised that Luffy survived the fall from the cliff since he thought that fall would have killed him.
Before Kuro could kill anyone, Kaya arrives and begs him to stop. Usopp managed to save her before Kuro slashes her. She said to Usopp that she could not bare to see him get hurt protecting her. She then talks to Kuro and said he can take her fortune and leave the village alone. Kuro said to Kaya he wants more than her fortune. He wants peace. He said, despite her plea, the Black Cat Pirates will still attack Syrup Village and kill her. She then pulled a gun from her coat and pointed it at Kuro. She threatens to kill him if Kuro and the Black Cat Pirates don’t leave the island this instant. Kuro managed to lower her guard down by talking about the last 3 years they spent together. He also said that spending 3 years with her was an insult to his pride as a pirate. He takes the gun from her and throws it to the ground.
Usopp takes the gun and tries to shoot Kuro down, but Kuro used his Nuki Ashi to reappear behind the liar with his Cat Claws gloves on. He tried to kill him to make him pay for punching him, but his attempts were stopped by Luffy who gave him a Gomu Gomu no Pistol, sending him to the ground. Luffy swears Kuro will have a bad day since he hates being punched.","Sham, Roronoa Zoro, Buchi, Jango, Nami, Kuro, Monkey D. Luffy, Usopp, Kaya",
Episode 15,Defeat Kuro! Usopp's Tear-filled Determination!,23-Feb-00,"Kuro battles Luffy, Jango pursues a retreating Kaya, and Zoro is faced by the strengthened Buchi. After Zoro emerges victorious, he leaves to aid Kaya, while Kuro explains his background as a pirate captain and his intentions to quit piracy.","As the Usopp Pirates come to his aid and beat Kuro as he is down, but Kuro gets up and beats Usopp to the ground. Now knowing his opponent possessed a Devil Fruit ability, he decides to personally focus on Luffy, ordering Jango to pursue and kill Kaya. Although now incapacitated and no longer able to fight, Usopp orders the children to protect Kaya as she evades Jango's pursuit. Although Zoro attempts to aid Luffy, he is stopped by a strengthened Buchi. Although Buchi greatly disrupts the battlefield with his powerful attacks, Zoro uses his three swords to cut him down.
Kuro mocks Usopp for his weakness and determination to become a brave warrior, and his crew joins in the mockery. However, Luffy attacks the crew members with a boulder. With Luffy's permission, Zoro leaves the battlefield to help protect Kaya from Jango.
Luffy continues his battle against Kuro, but Kuro evades each of Luffy's attacks using his Nukiashi technique. Although his crew members cheer on him as their captain, Kuro denounces the title, explaining his intentions to no longer be a pirate captain.
When he was at sea, Kuro grew tired of being a fugitive under constant Marine pursuit, so he decided to carry out a plan. When his ship was attacked by a Marine ship, Kuro entered the ship and slaughtered every Marine onboard, save for a single soldier. Jango hypnotized the soldier and one of Kuro's own men who resembled him. Under hypnosis, the crewman believed himself to be Kuro, and the soldier turned him into the Marines. Believing him to be Kuro himself, the Marines arrested and executed him. Kuro was now free to live a more peaceful life, now only needing money inherited from Kaya.
Back to the present day, Kuro resumes his battle with Luffy. Using the boulder from before, Luffy manages to break off all the blades on Kuro's right glove. Luffy declares that as Kuro desired to retire from piracy, his ambition was greater.","Kuro, Jango, Roronoa Zoro, Buchi, Sham, Nami, Monkey D. Luffy, Kaya, Usopp, Tamanegi, Piiman, Ninjin, Nugire Yainu (flashback), Morgan (flashback)",
Episode 16,Protect Kaya! Usopp Pirate Gang Takes Action!,1-Mar-00,"Jango pursues Kaya in the forest and extorts her into signing the will, but Zoro and Usopp arrive at her aid. Meanwhile, Kuro uses his Shakushi attack, indiscriminately attacking Luffy and his own crew alike.","The children escort Kaya through the forest as they hide from Jango, and Zoro and Usopp attempt to locate the group. However, Kaya falls ill and is no longer able to run. The children attempt to ambush him with a fake surrender, their weapons and a falling log, but this attempt fails as Jango is unharmed by the attacks. After Jango threatens to kill the children, Kaya agrees to sign the will as planned, and in exchange the children would be spared. However, before Jango is able to kill Kaya, Zoro and Usopp finally locate her and arrive to her aid.
At the northern coast, Kuro reveals his intentions to slaughter his entire crew to prevent any of them from exposing him in the future. His standard Nukiashi techniques fail against Luffy's attacks, so he uses his Shakushi technique, an indiscriminate attack in which he slashes all objects and people in sight at such a great speed he is completely invisible to his opponents. Although Luffy was his only opponent, the attack harms his own crew members, leaving them gravely injured. Luffy is injured by the attacks as he struggles to effectively combat Kuro's ability.","Piiman, Tamanegi, Ninjin, Kaya, Jango, Monkey D. Luffy, Kuro, Pandaman, Nami, Usopp, Roronoa Zoro, Shanks (flashback)",
Episode 17,"Completely Infuriated! Kuro vs. Luffy, Final Battle!",8-Mar-00,"Luffy defeats Kuro and Usopp defeats Jango, expelling the Black Cat Pirates from the island. The crew receive a new ship from Kaya, accept Usopp as a new crew member, and set sail for their next destination.","Kuro attempts to use Shakushi on Luffy once again, but this time Luffy uses his rubber body to restrain him and prevent him from moving. Stretching his neck back, he uses Gomu Gomu no Kane, a powerful headbutt knocking Kuro unconscious and destroying his glasses. Concluding the battle, Luffy orders the remaining Black Cat Pirates to leave the island, taking Kuro with them.
Simultaneously, Zoro and Usopp arrive to protect Kaya from Jango. Zoro cuts down a tree branch, clearing the way for Usopp's Hissatsu: Kayaku Boshi, a fired pellet that explodes in Jango's face, defeating him. As he did not want to be known as the village hero, Usopp asks the children not to disclose his deeds to the townspeople.
After meeting with the crew to thank them for their help, Usopp meets with the children. Explaining his desires to leave the village to become a real pirate, Usopp disbands the crew, telling each child to pursue their individual ambitions.
To thank them for their heroic deeds, Kaya gifts the crew with the Going Merry, a full-sized caravel designed by Merry. Gratefully accepting the ship, the crew prepare to depart, also deciding to take Usopp along as a new permanent member of the crew.
Kaya meets with Merry at the coast, where Merry explains Usopp's past. In his childhood Usopp's father, Yasopp, set sail with Shanks to become a pirate, leaving behind his son and wife. Usopp's mother passed away from illness soon after Yasopp's departure. Now lonely, Usopp became the town liar, hoping that his lies would come true and his father would someday return.
In the present day, the children assume Usopp's role as the town liar, claiming an incoming pirate invasion.","Monkey D. Luffy, Kuro, Jango, Kaya, Piiman, Tamanegi, Ninjin, Roronoa Zoro, Usopp, Nami, Merry, Banchina (flashback)",
Episode 18,You Are a Special Animal! Gaimon and His Bizarre Friends,15-Mar-00,"After designing a jolly roger for the crew, they visit the Island of Rare Animals for treasure. They do not find treasure, but they befriend Gaimon, a man trapped in a box who had been living on the island for twenty years.","While at sea, Luffy designs a jolly roger to represent the crew. After refining the design with his artistic skills, Usopp paints it to the sails. However, Nami spots the Island of Rare Animals in the distance, an island rumoured to contain legendary treasures but is divinely protected by the gods.
The crew decide to dock at the island to plunder its treasures. However, they are quickly confronted by strange hybrid animals and an unseen man claiming to be a god. After his makeshift traps fail against the crew, he attempts to retreat, but the crew catch him. They discover the man is Gaimon, a man who had been trapped in a treasure chest for twenty years. Luffy quickly befriends Gaimon, but is warned of the horrors that lie ahead in the Grand Line.
Gaimon explains his past. Formerly a boy aboard a pirate ship, he too arrived at the island in search of treasures, but his crew failed to find any treasure after a month of searching and prepared to leave. Gaimon finally found treasure atop a mountain, but fell off the mountain and into an empty treasure chest, where he became stuck. He also found out that his crew had already set sail, leaving him behind.
The crew decide to search for the treasure themselves. However, after Luffy climbs the mountain, he realizes that all five treasure chests at the top of the mountain were empty. Luffy decides to invite Gaimon into his crew. Gaimon refuses, stating that he had befriending the animals native to the island. He also states that knowing there was no treasure gave him closure and the freedom to live as he pleased. After Gaimon thanks them for their help, the crew depart, heading towards their next destination.","Usopp, Roronoa Zoro, Nami, Monkey D. Luffy, Usagihebi, Cocox, Lionbuta, Kabagorilla, Kirinkodanuki, Kamonohitsuji, Saikangaroo, Gaimon",
Episode 19,Past of the Three Swords! The Promise Between Zoro and Kuina!,22-Mar-00,"Zoro naps and dreams of his childhood, his relationship with the late Kuina and his ambitions. Meanwhile, Luffy fires a cannon at a rock, angering Zoro's old friend, Johnny.","After Luffy finds a box of cannonballs onboard, he and Usopp decide to play with the ship's cannons. As they do so, Zoro takes a nap, where he dreams about his childhood.
Zoro was a dojoyaburi at Shimotsuki Village, challenging local dojos to duels. However, after challenging the dojo of Koushirou, he faced defeat at the hands of Koushirou's daughter, Kuina, and as promised had to join the dojo as a student. After training much more rigorously than his peers, he became strong enough to defeat the adults at the dojo, but was still unable to defeat Kuina.
One day, Zoro challenged Kuina to a duel using real swords as opposed to shinai. Kuina defeated Zoro for the two-thousandth time. However, she lamented she would never become a powerful swordfighter as she was a woman. Zoro and Kuina promised to each other to train harder and become stronger, and one of them would become the world's greatest swordsman.
Both kept their promises and increased their training efforts, but Kuina tragically suffered a fatal fall down a flight of stairs. With Kuina deceased, Zoro decided he had to become the world's greatest swordsman to honor his promise. Koushirou entrusted Zoro with Kuina's prized heirloom katana, the Wado Ichimonji, for him to further his training. Zoro would train for another eight years before leaving the dojo to become a pirate hunter.
Back in the present day, Luffy fires the cannon at a distant rock. They then go to the kitchen, but they find themselves raided by Johnny, Zoro's old friend. Johnny accuses the crew of attempting to kill his friend.","Usopp, Nami, Monkey D. Luffy, Roronoa Zoro, Koushirou (flashback), Kuina (flashback), Johnny",
Episode 20,The Famous Cook! Sanji of the Floating Restaurant,12-Apr-00,"The crew meets Johnny and Yosaku, Zoro's former bounty hunter companions, and they set sail for the Baratie restaurant in search of a cook. Meanwhile, Sanji, the restaurant's sous chef, beats an arrogant Marine lieutenant Fullbody during a heated argument.","Johnny explains that after his bounty hunting partner, Yosaku, had fallen ill from an unknown disease, they had stopped at a rock so Yosaku could rest. However, the rock was targeted by Luffy's cannon, which he assumed to be a deliberate attack.
The crew take an ill Yosaku onboard and Nami diagnoses him with scurvy, a disease caused by a vitamin C deficiency. After treating his illness by feeding him lime juice, they bring him inside to rest. The crew decide they need a crew member specializing in cooking to tend to their dietary needs. They decide to stop at the Baratie, a ship and ocean-going restaurant.
However, they arrive at the same time as Marine lieutenant Fullbody, who enters the restaurant for a date but orders his men to destroy the crew's ship. Luffy deflects their cannonball with his rubber body, but this causes the cannonball to strike the Baratie's rooftop, blasting a large hole in the roof and injuring the head chef, Zeff. As Luffy had no money to pay for repairs, Zeff forces him to work as a chore boy for an entire year to make up for the incident, and he refuses to negotiate with Luffy.
Meanwhile, Fullbody gets into an argument with the restaurant's sous chef, Sanji, after the former attempts to place a fly in his soup. After the argument escalates, Fullbody destroys the table, spilling the soup on the ground. For wasting the food he made, Sanji beats Fullbody with his legs, prompting the other members of the crew to enter the restaurant to investigate the loud sounds.","Moodie, Fullbody, Roronoa Zoro, Johnny, Monkey D. Luffy, Usopp, Nami, Yosaku, Batchee, Zeff, Sanji, Motzel",
Episode 21,An Unexpected Guest! Sanji's Food and Gin's Grace,12-Apr-00,"Sanji feeds a starving pirate named Gin. Luffy begins his job as a chore boy to pay for the damage he caused to the Baratie. While working, Luffy tries to convince Sanji to join his crew, to no avail.","Baratie's patissier, Patty, denounces Sanji for his violent actions against Fullbody. Zeff also beats Luffy through the floor above, causing them to fall into the dining area below. While Zeff, Patty and Sanji continue to argue, Fullbody attempts to flee, but is informed by his crew that Don Krieg, the most feared pirate in East Blue, has escaped their custody despite being starved for days.
One of Krieg's officers, Gin, appears at the restaurant, requesting food. Patty refuses to feed him as Gin cannot pay for the food, beating him to the ground and throwing him outside. Sanji decides to generously feed Gin with a dish of seafood risotto, which he gratefully accepts. Watching from above, Luffy invites Sanji into his crew, but Sanji refuses the invitation, stating he had reasons to stay at the Baratie. Gin warns Luffy of the dangers that lie in the Grand Line.
Gin leaves on his ship to return to his captain. Luffy and Sanji return to work, where the former works as a chore boy, but his clumsiness destroys the kitchen. Patty orders him to become a waiter instead, sending him into the dining area to take orders. While Luffy tends to the crew's table, Sanji serenades Nami, which disgusts Zeff.
Meanwhile, Gin returns to Krieg at their headquarters. Despite Sanji's generosity towards Gin, they decide to plan an invasion of Baratie.","Patty, Sanji, Fullbody, Usopp, Nami, Roronoa Zoro, Monkey D. Luffy, Zeff, Lines, Pandaman, Gin, Carne, Don Krieg",
